DE,49
AT,43
BE,32
CA,1
CN,86
ES,34
FI,358
FR,33
GR,30
IT,39
JP,81
LU,352
NL,31
PL,48
PT,351
CZ,420
GB,44
SE,46
CH,41
DK,45
US,1
HK,852
NO,47
AU,61
SG,65
IE,353
NZ,64
KR,82
IL,972
ZA,27
NG,234
CI,225
TG,228
BO,591
MU,230
RO,40
SK,421
DZ,213
AS,0
AD,376
AO,244
AI,0
AG,0
AR,54
AM,374
AW,297
AZ,994
BS,0
BH,973
BD,880
BB,0
BY,0
BZ,501
BJ,229
BM,0
BT,975
BW,267
BR,55
BN,673
BF,226
MM,95
BI,257
KH,855
CM,237
CV,238
CF,236
TD,235
CL,56
CO,57
KM,269
CD,242
CG,243
CR,506
HR,385
CU,53
CY,357
DJ,253
DM,0
DO,0
TL,670
EC,593
EG,20
SV,503
GQ,240
ER,291
EE,372
ET,251
FK,0
FO,298
FJ,679
GA,241
GM,220
GE,995
GH,233
GD,0
GL,299
GI,350
GP,590
GU,0
GT,502
GG,0
GN,224
GW,245
GY,592
HT,509
HM,0
VA,379
HN,504
IS,354
IN,91
ID,62
IR,98
IQ,964
IM,0
JM,0
JE,0
JO,962
KZ,7
KE,254
KI,686
KP,850
KW,965
KG,996
LA,856
LV,371
LB,961
LS,266
LR,231
LY,218
LI,423
LT,370
MO,853
MK,389
MG,261
MW,265
MY,60
MV,960
ML,223
MT,356
MH,692
MQ,596
MR,222
HU,36
YT,262
MX,52
FM,691
MD,373
MC,377
MN,976
ME,382
MS,0
MA,212
MZ,258
NA,264
NR,674
NP,977
AN,599
NC,687
NI,505
NE,227
NU,683
NF,0
MP,0
OM,968
PK,92
PW,680
PS,0
PA,507
PG,675
PY,595
PE,51
PH,63
PN,0
PR,0
QA,974
RE,262
RU,7
RW,250
BL,0
KN,0
LC,0
MF,0
PM,508
VC,0
WS,685
SM,378
ST,239
SA,966
SN,221
RS,381
SC,248
SL,232
SI,386
SB,677
SO,252
GS,0
LK,94
SD,249
SR,597
SJ,0
SZ,268
SY,963
TW,886
TJ,992
TZ,255
TH,66
TK,690
TO,676
TT,0
TN,216
TR,90
TM,993
TC,0
TV,688
UG,256
UA,380
AE,971
UY,598
UZ,998
VU,678
VE,58
VN,84
VG,0
VI,0
WF,681
EH,0
YE,967
ZM,260
ZW,263
AL,355
AF,93
AQ,0
BA,387
BV,0
IO,0
BG,359
KY,0
CX,0
CC,0
CK,682
GF,594
PF,689
TF,0
AX,0